"Block","Treatment","Horizon","Root_type","ID","Total_mass_g","Core_surface_area_cm2","Total_core_volume_cm3"
1,"CT","O","Fine",1,7.29,25,1337.5
1,"CT","O","Coarse",NA,0,25,1337.5
1,"CT","O","Erivag",3,0.65,25,1337.5
1,"CT","M","Fine",4,0.563,15.9043128087983,612.316043138736
1,"CT","M","Coarse",NA,0,15.9043128087983,612.316043138736
1,"CT","M","Erivag",6,0.185,15.9043128087983,612.316043138736
1,"F0.5","O","Fine",49,5.734,25,1287.5
1,"F0.5","O","Coarse",NA,0,25,1287.5
1,"F0.5","O","Erivag",NA,0,25,1287.5
1,"F0.5","M","Fine",52,0.697,22.9022104446696,1385.58373190251
1,"F0.5","M","Coarse",NA,0,22.9022104446696,1385.58373190251
1,"F0.5","M","Erivag",54,0.962,22.9022104446696,1385.58373190251
1,"F1","O","Fine",73,6.072,25,1175
1,"F1","O","Coarse",NA,0,25,1175
1,"F1","O","Erivag",96,0.03,25,1175
1,"F1","M","Fine",76,4.007,22.9022104446696,1087.85499612181
1,"F1","M","Coarse",NA,0,22.9022104446696,1087.85499612181
1,"F1","M","Erivag",78,0.027,22.9022104446696,1087.85499612181
1,"F2","O","Fine",97,5.301,25,1550
1,"F2","O","Coarse",104,0.021,25,1550
1,"F2","O","Erivag",111,0.44,25,1550
1,"F2","M","Fine",100,2.389,22.9022104446696,675.615208117753
1,"F2","M","Coarse",NA,0,22.9022104446696,675.615208117753
1,"F2","M","Erivag",102,0.049,22.9022104446696,675.615208117753
1,"F5","O","Fine",121,4.988,25,1275
1,"F5","O","Coarse",134,0.071,25,1275
1,"F5","O","Erivag",141,0.012,25,1275
1,"F5","M","Fine",130,2.731,22.9022104446696,1053.5016804548
1,"F5","M","Coarse",NA,0,22.9022104446696,1053.5016804548
1,"F5","M","Erivag",132,0.063,22.9022104446696,1053.5016804548
1,"F10","O","Fine",25,9.375,25,1475
1,"F10","O","Coarse",NA,0,25,1475
1,"F10","O","Erivag",33,0.664,25,1475
1,"F10","M","Fine",46,0.206,15.9043128087983,103.378033257189
1,"F10","M","Coarse",NA,0,15.9043128087983,103.378033257189
1,"F10","M","Erivag",NA,0,15.9043128087983,103.378033257189
2,"CT","O","Fine",151,3.455,25,1075
2,"CT","O","Coarse",158,0.532,25,1075
2,"CT","O","Erivag",159,0.013,25,1075
2,"CT","M","Fine",154,0.376,25,1500
2,"CT","M","Coarse",NA,0,25,1500
2,"CT","M","Erivag",162,0.034,25,1500
2,"F0.5","O","Fine",175,7.227,25,1562.5
2,"F0.5","O","Coarse",188,0.182,25,1562.5
2,"F0.5","O","Erivag",177,0.17,25,1562.5
2,"F0.5","M","Fine",178,2.232,25,1300
2,"F0.5","M","Coarse",NA,0,25,1300
2,"F0.5","M","Erivag",180,0.186,25,1300
2,"F1","O","Fine",199,6.479,25,1975
2,"F1","O","Coarse",NA,0,25,1975
2,"F1","O","Erivag",201,0.231,25,1975
2,"F1","M","Fine",208,0.413,25,712.5
2,"F1","M","Coarse",NA,0,25,712.5
2,"F1","M","Erivag",210,0.194,25,712.5
2,"F2","O","Fine",223,5.141,25,1587.5
2,"F2","O","Coarse",NA,0,25,1587.5
2,"F2","O","Erivag",225,0.236,25,1587.5
2,"F2","M","Fine",226,0.766,25,762.5
2,"F2","M","Coarse",NA,0,25,762.5
2,"F2","M","Erivag",228,0.098,25,762.5
2,"F5","O","Fine",247,4.563,25,1137.5
2,"F5","O","Coarse",NA,0,25,1137.5
2,"F5","O","Erivag",NA,0,25,1137.5
2,"F5","M","Fine",256,4.088,25,1112.5
2,"F5","M","Coarse",NA,0,25,1112.5
2,"F5","M","Erivag",258,0.031,25,1112.5
2,"F10","O","Fine",271,4.886,25,987.5
2,"F10","O","Coarse",NA,0,25,987.5
2,"F10","O","Erivag",NA,0,25,987.5
2,"F10","M","Fine",274,2.175,25,1362.5
2,"F10","M","Coarse",NA,0,25,1362.5
2,"F10","M","Erivag",288,0.005,25,1362.5
3,"CT","O","Fine",301,7.037,25,1225
3,"CT","O","Coarse",320,0.022,25,1225
3,"CT","O","Erivag",303,0.162,25,1225
3,"CT","M","Fine",304,1.294,25,1425
3,"CT","M","Coarse",NA,0,25,1425
3,"CT","M","Erivag",306,0.45,25,1425
3,"F0.5","O","Fine",325,3.1,25,1287.5
3,"F0.5","O","Coarse",332,0.148,25,1287.5
3,"F0.5","O","Erivag",327,0.066,25,1287.5
3,"F0.5","M","Fine",328,0.834,25,1400
3,"F0.5","M","Coarse",NA,0,25,1400
3,"F0.5","M","Erivag",330,0.033,25,1400
3,"F1","O","Fine",349,3.48,25,1262.5
3,"F1","O","Coarse",NA,0,25,1262.5
3,"F1","O","Erivag",357,0.146,25,1262.5
3,"F1","M","Fine",352,1.286,25,1887.5
3,"F1","M","Coarse",NA,0,25,1887.5
3,"F1","M","Erivag",366,0.007,25,1887.5
3,"F2","O","Fine",373,2.569,25,650
3,"F2","O","Coarse",NA,0,25,650
3,"F2","O","Erivag",NA,0,25,650
3,"F2","M","Fine",376,4.425,25,4575
3,"F2","M","Coarse",389,0.151,25,4575
3,"F2","M","Erivag",378,0.037,25,4575
3,"F5","O","Fine",397,3.65,25,1087.5
3,"F5","O","Coarse",NA,0,25,1087.5
3,"F5","O","Erivag",405,0.176,25,1087.5
3,"F5","M","Fine",400,1.002,25,1812.5
3,"F5","M","Coarse",NA,0,25,1812.5
3,"F5","M","Erivag",408,0.036,25,1812.5
3,"F10","O","Fine",421,4.656,25,1725
3,"F10","O","Coarse",422,0.169,25,1725
3,"F10","O","Erivag",423,0.014,25,1725
3,"F10","M","Fine",424,0.099,25,1675
3,"F10","M","Coarse",NA,0,25,1675
3,"F10","M","Erivag",NA,0,25,1675
