"Nitrogen","Carbon","Block","Treatment","Horizon","Notes"
1.05353343486786,36.0804061889648,"1","CT","O",NA
0.696846067905426,33.3515510559082,"1","F0.5","O",NA
0.934843778610229,31.693941116333,"1","F1","O",NA
1.24183464050293,32.5495452880859,"1","F2","O",NA
0.750761985778809,23.1930961608887,"1","F5","O",NA
1.41588449478149,34.9914360046387,"1","F10","O",NA
0.94438511133194,29.6871776580811,"2","CT","O",NA
0.823882520198822,32.3161392211914,"2","F0.5","O",NA
1.10923540592194,31.576789855957,"2","F1","O",NA
1.24211752414703,33.9820938110352,"2","F2","O",NA
1.22936856746674,34.0487937927246,"2","F2","O",NA
1.45507562160492,37.8403511047363,"2","F5","O",NA
1.61392104625702,41.3941497802734,"2","F10","O",NA
1.11222612857819,39.3608589172363,"3","CT","O",NA
1.09423291683197,36.2139167785645,"3","F0.5","O",NA
1.02920889854431,27.9106540679932,"3","F1","O",NA
0.65618097782135,15.504545211792,"3","F2","O",NA
1.50230360031128,40.7925453186035,"3","F5","O",NA
1.50508892536163,40.1449432373047,"3","F10","O",NA
1.48171508312225,40.0968246459961,"3","F10","O",NA
0.158242285251617,3.41994738578796,"1","CT","M",NA
0.137599557638168,3.13763236999512,"1","F0.5","M",NA
0.143343687057495,3.26333141326904,"1","F1","M",NA
0.156700685620308,3.29556202888489,"1","F2","M",NA
0.152922183275223,3.61130023002625,"1","F5","M",NA
0.226583153009415,4.76760244369507,"1","F10","M",NA
0.480277210474014,8.60420513153076,"2","CT","M",NA
0.221445932984352,4.57607889175415,"2","F0.5","M",NA
0.208644762635231,4.2399959564209,"2","F1","M",NA
0.251331299543381,5.04585027694702,"2","F2","M",NA
0.236850589513779,4.69843673706055,"2","F2","M",NA
0.215731889009476,4.50101089477539,"2","F5","M",NA
0.4124416410923,7.99761056900024,"2","F10","M",NA
0.267375290393829,5.20292997360229,"3","CT","M",NA
0.15199014544487,2.66284990310669,"3","F0.5","M",NA
0.544750273227692,9.3121166229248,"3","F1","M",NA
0.175262078642845,3.34335374832153,"3","F2","M",NA
0.181323394179344,2.9472861289978,"3","F5","M",NA
0.247146144509315,4.77724885940552,"3","F10","M",NA
0.240122184157372,4.66622829437256,"3","F10","M",NA
